"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Dutta A.; Das D.; Jana R.K.; Vo X.V.","Dutta, Anupam (56410388600); Das, Debojyoti (57201438862); Jana, R.K. (9639932600); Vo, Xuan Vinh (22939657900)","56410388600; 57201438862; 9639932600; 22939657900","COVID-19 and oil market crash: Revisiting the safe haven property of gold and Bitcoin","2020","Resources Policy","69","","101816","","","","232","10.1016/j.resourpol.2020.101816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089855179&doi=10.1016%2fj.resourpol.2020.101816&partnerID=40&md5=fc228b4bf70f648f677e198b86383b53","The global crude oil market has experienced a significant downturn following the novel coronavirus outbreak (COVID-19) in December 2019. Thereafter, all the major oil markets have become extremely volatile, and investments in these markets could lead to substantial losses. This paper empirically investigates the time-varying correlations between gold and oil markets to examine whether gold is a safe haven asset for the international crude oil markets during the COVID-19 period. For the purpose of comparison, the safe haven property of Bitcoin is tested as well. The results of the time-varying correlations obtained through the DCC-GARCH model suggest that gold is a safe haven asset for global crude oil markets. Bitcoin, on the other hand, acts only as a diversifier for crude oil. The results further show that the portfolio risk is minimized when investors include oil and gold in their portfolio rather than holding assets in oil and Bitcoin markets. Given that financial downturn, terrorist attacks, pandemics and similar global events often play a crucial role in portfolio risk analysis, our results could be of interest to those who invest in oil, gold and Bitcoin markets. © 2020 Elsevier Ltd","Bitcoin; COVID-19; Crude oil; Gold; Safe haven","Coronavirus; Bitcoin; Crude oil; Gold; Risk analysis; Risk assessment; Coronaviruses; Crude oil market; DCC-GARCH models; International crude oil markets; Oil market; Portfolio risks; Terrorist attacks; Time varying; correlation; COVID-19; crude oil; disease incidence; economic impact; oil trade; resource economy; respiratory disease; risk assessment; viral disease; Investments","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85089855179"
"Dias S.M.","Dias, Sonia Maria (58587280600)","58587280600","Waste pickers and cities","2016","Environment and Urbanization","28","2","","375","390","15","161","10.1177/0956247816657302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988847746&doi=10.1177%2f0956247816657302&partnerID=40&md5=98fd679a547b08aee381dd3a329c3154","The occupation of waste picker has taken on new importance as a livelihood, especially since the last global economic downturn. Increasingly, waste pickers are being recognized for their valuable contributions to urban sustainability and development. Drawing from scholarship on waste pickers, and findings from a recent study conducted in five cities across three continents, this paper discusses the environmental and economic contributions of informal waste pickers to cities. This paper argues for the re-conceptualization of solid waste management systems that integrate waste pickers as partners, as key to building just, inclusive and livable cities for all. It also presents a specific model in which informal waste workers are integrated as key stakeholders as one example of best practice in this area, thus contributing to current discussions on integrated and inclusive solid waste models. © 2016, © 2016 International Institute for Environment and Development (IIED).","informal workers; integration; livelihoods; social inclusion; solid waste; waste pickers","labor supply; occupation; social inclusion; stakeholder; sustainability; urban design; urban economy; waste disposal","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84988847746"
"Jaimovich N.; Siu H.E.","Jaimovich, Nir (22979688400); Siu, Henry E. (6603538414)","22979688400; 6603538414","Job polarization and jobless recoveries","2020","Review of Economics and Statistics","102","1","","129","147","18","137","10.1162/rest_a_00875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080129014&doi=10.1162%2frest_a_00875&partnerID=40&md5=f1bdddb771cebedc5b5f6871c441b568","Job polarization refers to the shrinking share of employment in middle-skill, routine occupations experienced over the past 35 years. Jobless recoveries refers to the slow rebound in aggregate employment following recent recessions despite recoveries in aggregate output. We show how these two phenomena are related. First, essentially all employment loss in routine occupations occurs in economic downturns. Second, jobless recoveries in the aggregate can be accounted for by jobless recoveries in the routine occupations that are disappearing. © 2019 by the President and Fellows of Harvard College and the Massachusetts Institute of Technology.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85080129014"
"Aghion P.; Van Reenen J.; Zingales L.","Aghion, Philippe (7004203407); Van Reenen, John (7005708650); Zingales, Luigi (7004110147)","7004203407; 7005708650; 7004110147","Innovation and institutional ownership","2013","American Economic Review","103","1","","277","304","27","1165","10.1257/aer.103.1.277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873299081&doi=10.1257%2faer.103.1.277&partnerID=40&md5=7fa8ec095045ee75a332a85851c28a8d","We find that greater institutional ownership is associated with more innovation. To explore the mechanism, we contrast the ""lazy manager"" hypothesis with a model where institutional owners increase innovation incentives through reducing career risks. The evidence favors career concerns. First, we find complementarity between institutional ownership and product market competition, whereas the lazy manager hypothesis predicts substitution. Second, CEOs are less likely to be fired in the face of profit downturns when institutional ownership is higher. Finally, using instrumental variables, policy changes, and disaggregating by type of institutional owner, we argue that the effect of institutions on innovation is causal. Copyright © 2013 by the American Economic Association.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84873299081"
"Chemkha R.; BenSaïda A.; Ghorbel A.; Tayachi T.","Chemkha, Rahma (57220006509); BenSaïda, Ahmed (57196048581); Ghorbel, Ahmed (36991969000); Tayachi, Tahar (57209214887)","57220006509; 57196048581; 36991969000; 57209214887","Hedge and safe haven properties during COVID-19: Evidence from Bitcoin and gold","2021","Quarterly Review of Economics and Finance","82","","","71","85","14","139","10.1016/j.qref.2021.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112782767&doi=10.1016%2fj.qref.2021.07.006&partnerID=40&md5=ee88cfb1351c123aff20cbfc7ba18051","The COVID-19 pandemic has caused an unprecedented human and health crisis. The measures taken to contain the damage caused a global economic slowdown. Investors face liquidity pressures resulting from the general downturn in the financial markets, and might change their risk appetite. This paper reassesses the safe haven property of gold as a traditional asset, and Bitcoin which is gradually imposing itself as a new class of asset with unique characteristics. The empirical results, applied on major world stock market indices and currencies, and based on the multivariate asymmetric dynamic conditional correlation model, show the effectiveness of Bitcoin and gold as hedging assets in reducing the risk of international portfolios. Moreover, the analysis provides evidence that during the COVID-19 pandemic, gold is a weak safe haven for the considered assets, while Bitcoin cannot provide shelter due to its increased variability. © 2021 Board of Trustees of the University of Illinois","Bitcoin; DCC; Gold; Hedge; Safe haven","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85112782767"
"Huynh T.L.D.; Hille E.; Nasir M.A.","Huynh, Toan Luu Duc (57728566100); Hille, Erik (57189579878); Nasir, Muhammad Ali (34870351900)","57728566100; 57189579878; 34870351900","Diversification in the age of the 4th industrial revolution: The role of artificial intelligence, green bonds and cryptocurrencies","2020","Technological Forecasting and Social Change","159","","120188","","","","226","10.1016/j.techfore.2020.120188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087855013&doi=10.1016%2fj.techfore.2020.120188&partnerID=40&md5=bc2b12b747f6128e37a12add40130e82","In the context of the 4th industrial revolution, artificial intelligence (AI) and environmental challenges, this study investigates the role of AI, robotics stocks and green bonds in portfolio diversification. Using daily data from 2017 to 2020, we employ tail dependence as copulas and the Generalized Forecast Error Variance Decomposition to examine the volatility connectedness. Our results suggest that, first, portfolios consisting of these assets exhibit heavy-tail dependence which implies that in the times of economic turbulence, there will be a high probability of large joint losses. Second, volatility transmission is higher in the short term, implying that short-term shocks can cause higher volatility in the assets, but in the long run, volatility transmission decreases. Third, Bitcoin and gold are vital assets for hedging, though the Bitcoin is also affected by its past volatility, a feature it shares with green bonds and NASDAQ AI. During economic downturns, gold may act as a safe haven, as its shock transmission to NASDAQ AI is just around 1.41%. Lastly, the total volatility transmission of all financial assets is considerably high, suggesting that the portfolio has an inherent self-transmitting risk which requires careful diversification. The NASDAQ AI and general equity indexes are not good hedging instruments for each other. © 2020 Elsevier Inc.","4th industrial revolution; Artificial intelligence; Cryptocurrencies; Green bonds; NASDAQ AI; Portfolio diversification","Artificial intelligence; Bitcoin; Financial markets; Gold; Green manufacturing; Industry 4.0; Transmissions; Economic downturn; Environmental challenges; Forecast Error Variance Decomposition; Hedging instruments; Industrial revolutions; Portfolio diversification; Shock transmission; Volatility transmissions; artificial intelligence; currency; industrial history; robotics; Fintech","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85087855013"
"Stiglitz J.E.","Stiglitz, Joseph E. (57208457063)","57208457063","Where modern macroeconomics went wrong","2018","Oxford Review of Economic Policy","34","1-2","","70","106","36","189","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041479182&partnerID=40&md5=9fbf8e1a14cab2b7242a76453e0b0ed3","This paper provides a critique of the DSGE models that have come to dominate macroeconomics during the past quarter-century. It argues that at the heart of the failure were the wrong microfoundations, which failed to incorporate key aspects of economic behaviour, e.g. incorporating insights from information economics and behavioural economics. Inadequate modelling of the financial sector meant they were ill-suited for predicting or responding to a financial crisis; and a reliance on representative agent models meant they were ill-suited for analysing either the role of distribution in fluctuations and crises or the consequences of fluctuations on inequality. The paper proposes alternative benchmark models that may be more useful both in understanding deep downturns and responding to them. © The Author 2018.","Deep downturns; DSGE; Economic fluctuations; Representative agent","economic analysis; financial crisis; general equilibrium analysis; macroeconomics; model test; stochasticity; theoretical study","Article","Final","","Scopus","2-s2.0-85041479182"
"Laeven L.; Majnoni G.","Laeven, Luc (6603399214); Majnoni, Giovanni (6507909398)","6603399214; 6507909398","Loan loss provisioning and economic slowdowns: Too much, too late?","2003","Journal of Financial Intermediation","12","2","","178","197","19","432","10.1016/S1042-9573(03)00016-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-15844364742&doi=10.1016%2fS1042-9573%2803%2900016-0&partnerID=40&md5=b156d2200f6d1ae009902e6b4c7e98f5","Only recently the debate on bank capital regulation has devoted specific attention to the role that bank loan loss provisions can play as a part of the overall capital regulatory framework. This paper contributes to the ongoing debate by demonstrating empirically that loan loss provisioning needs to be an integral component of capital regulation. We find empirical evidence that many banks around the world delay provisioning for bad loans until too late, when cyclical downturns have already set in, thereby magnifying the impact of the economic cycle on banks' income and capital. © 2003 Elsevier Science (USA). All rights reserved.","Bank regulation; Banks; Loan loss provisions","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-15844364742"
"","","","Divided we stand: Why inequality keeps rising","2011","Divided we stand: Why inequality keeps rising","9789264119536","","","1","386","385","1537","10.1787/9789264119536-en","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903900992&doi=10.1787%2f9789264119536-en&partnerID=40&md5=39c781d16d58978c51ac38e36273264a","In the three decades to the recent economic downturn, wage gaps widened and household income inequality as measured by GINI increased in a large majority of OECD countries. This occurred even when countries were going through a period of sustained economic and employment growth. This report analyses the major underlying forces behind these developments. It examines to which extent economic globalisation, skill-biased technological progress and institutional and regulatory reforms have had an impact on the distribution of earnings. The report further provides evidence of how changes in family formation and household structures have altered household earnings and income inequality. And it documents how tax and benefit systems have changed in the ways they redistribute household incomes. The report discusses which policies are most promising to counter increases in inequalities and how the policy mix can be adjusted when public budgets are under strain. ""Analyses rely on simple statistical techniques that are accessible to a large readership... the graphic and charts are of great help to gain a quick visual grasp of the various issues addressed."" © OECD 2011.","","","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84903900992"
"Rajan R.G.","Rajan, Raghuram G. (7101892426)","7101892426","Fault lines: How hidden fractures still threaten the world economy","2011","Fault Lines: How Hidden Fractures Still Threaten the World Economy","","","","","","270","355","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883901825&partnerID=40&md5=7f3490feee4d9f559005e31146c26188","Raghuram Rajan was one of the few economists who warned of the global financial crisis before it hit. Now, as the world struggles to recover, it's tempting to blame what happened on just a few greedy bankers who took irrational risks and left the rest of us to foot the bill. In Fault Lines, Rajan argues that serious flaws in the economy are also to blame, and warns that a potentially more devastating crisis awaits us if they aren't fixed. Rajan shows how the individual choices that collectively brought about the economic meltdown--made by bankers, government officials, and ordinary homeowners--were rational responses to a flawed global financial order in which the incentives to take on risk are incredibly out of step with the dangers those risks pose. He traces the deepening fault lines in a world overly dependent on the indebted American consumer to power global economic growth and stave off global downturns. He exposes a system where America's growing inequality and thin social safety net create tremendous political pressure to encourage easy credit and keep job creation robust, no matter what the consequences to the economy's long-term health; and where the U.S. financial sector, with its skewed incentives, is the critical but unstable link between an overstimulated America and an underconsuming world. In Fault Lines, Rajan demonstrates how unequal access to education and health care in the United States puts us all in deeper financial peril, even as the economic choices of countries like Germany, Japan, and China place an undue burden on America to get its policies right. He outlines the hard choices we need to make to ensure a more stable world economy and restore lasting prosperity. © 2010 by Princeton University Press. All Rights Reserved.","","","Book","Final","","Scopus","2-s2.0-84883901825"
"Goodell J.W.; Goutte S.","Goodell, John W. (24068577200); Goutte, Stephane (55536067100)","24068577200; 55536067100","Diversifying equity with cryptocurrencies during COVID-19","2021","International Review of Financial Analysis","76","","101781","","","","172","10.1016/j.irfa.2021.101781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104906672&doi=10.1016%2fj.irfa.2021.101781&partnerID=40&md5=89139aa63ebe2f901f573c631d49b7d2","Literature suggests assets become more correlated during economic downturns. The COVID-19 crisis provides an unprecedented opportunity to investigate this considerably further. Further, whether cryptocurrencies provide a diversification for equities is still an unsettled issue. We employ several econometric procedures, including wavelet coherence, and neural network analyses to rigorously examine the role of COVID-19 on the paired co-movements of four cryptocurrencies, with seven equity indices (matching countries particularly impacted by COVID-19). Our period of study includes one year prior to the onset of COVID-19, and one year during the pandemic, extending deeper into the pandemic period (February 2021) than most previous studies. We find co-movements between cryptocurrencies and equity indices gradually increased as COVID-19 progressed. However, most of these co-movements are either modestly positively correlated, or minimal, suggesting cryptocurrencies in general do not provide a diversification benefit during either normal times or downturns. An exception, however, is the co-movement of tether. Tether co-moves negatively with equities to an economically significant degree, both pre COVID-19, and considerably more during COVID-19. Co-movements between tether and equity indices spiked sharply during identified waves of the pandemic. Tether appears to be an important safe haven during times of market turmoil, consistent with investors seeking USD liquidity during periods of volatility. © 2021 Elsevier Inc.","Bitcoin; Co-movement; COVID-19; Safe haven; Wavelet","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85104906672"
"Bachmann R.; Sims E.R.","Bachmann, Rüdiger (53063140000); Sims, Eric R. (37033104200)","53063140000; 37033104200","Confidence and the transmission of government spending shocks","2012","Journal of Monetary Economics","59","3","","235","249","14","241","10.1016/j.jmoneco.2012.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859967326&doi=10.1016%2fj.jmoneco.2012.02.005&partnerID=40&md5=d4ef678b22dccfbb5dca4cd2b863eef5","Is impacting confidence an important channel by which government spending shocks affect economic activity? In a standard structural VAR, an empirical measure of confidence does not significantly react to spending shocks and output multipliers are around one. In a non-linear VAR, confidence rises following an increase in spending during periods of economic slack and multipliers are much larger. The systematic response of confidence is irrelevant for the output multiplier during normal times, but is critical during recessions. Spending shocks during downturns predict productivity improvements through a persistent increase in government investment relative to consumption, which is reflected in higher confidence. © 2012 Elsevier B.V.","","","Article","Final","","Scopus","2-s2.0-84859967326"
